node_id,x,y,demand,distance_to_depot
2,73.0,2.0,8,88.5268
3,13.0,47.0,24,21.0238
4,37.0,44.0,9,33.2415
5,34.0,63.0,19,20.6155
6,58.0,98.0,9,53.2541
7,33.0,42.0,18,32.2025
8,18.0,98.0,9,30.2655
9,24.0,79.0,14,14.8661
10,17.0,28.0,3,40.1123
11,72.0,67.0,14,58.0086
12,78.0,63.0,8,64.195
13,42.0,48.0,8,34.4093
14,1.0,2.0,13,67.2681
15,2.0,28.0,18,41.7612
16,32.0,82.0,4,22.8035
17,97.0,38.0,24,88.2553
18,39.0,53.0,14,29.1548
19,87.0,1.0,8,99.0858
20,42.0,77.0,18,29.4109
21,83.0,27.0,13,80.2621
22,79.0,92.0,2,69.2892
23,22.0,39.0,9,30.0832
24,58.0,32.0,18,56.8507
25,53.0,84.0,3,42.1545
26,38.0,37.0,24,39.2046
27,63.0,59.0,8,49.8197
28,42.0,88.0,24,34.4093
29,32.0,88.0,14,26.9072
30,38.0,23.0,13,51.0
31,63.0,32.0,24,60.803
32,22.0,73.0,23,9.434
33,88.0,94.0,9,78.4347
34,58.0,78.0,13,45.1221
35,43.0,62.0,14,29.6142
36,73.0,1.0,14,89.2749
37,17.0,32.0,18,36.1248
38,87.0,79.0,24,73.8241
39,12.0,24.0,4,44.0454
40,48.0,53.0,8,37.1618
41,48.0,23.0,13,56.4004
42,7.0,37.0,4,31.7805
43,98.0,77.0,14,84.4808
44,34.0,12.0,18,59.4643
